"ticker","asset_type","exchange","currency","sector","theme","source","status","strategy_eligible","watchlist_eligible","benchmark_eligible","wealthsimple_supported_status","added_at","archived_at","notes"
"AMAT","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"DRAM","etf","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"SPY","etf","NYSEARCA","USD","US large-cap equity","US stocks","trades.csv;benchmark_registry.csv","active","true","true","true","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"ASML","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"SNPS","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"ISRG","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"NVO","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"VGRO","etf","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"RBRK","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"TOELY","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"L","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"TOI","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"META","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"TSM","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"TSLA","stock","","","Consumer Discretionary","electric vehicles and autonomy","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; Tesla; watchlist-only until explicitly promoted to model strategy universe"
"PL","stock","","","Industrials","satellite imagery and geospatial data","trades.csv","active","false","true","false","unknown","2026-05-20","","Added by user to forward watchlist; Planet Labs; watchlist-only until explicitly promoted to model strategy universe"
