strategy,entry_signal_rule,entry_news_rule,exit_news_rule,none_streak,momentum_cutoff,entries,closed,open,deployed,ending,gain,return_pct,train_return_pct,test_return_pct
entry=strict-only; entry-news=accelerating; exit=15none/-10%/cooling,strict-only,accelerating,cooling,15,-10,59,25,34,59000,66086.23539644043826514398750,7086.23539644043826514398750,12.01056846854311570363387712,-9.120800172105437264780034435,15.95983495399258515305994722
entry=fresh-only; entry-news=ignore; exit=10none/-5%/ignore,fresh-only,ignore,ignore,10,-5,102,66,36,102000,114237.9181062994166397346593,12237.9181062994166397346593,11.99795892774452611738692088,-5.208389052738624034051085894,27.50739885051058401270705582
entry=fresh-only; entry-news=ignore; exit=5none/0%/cooling,fresh-only,ignore,cooling,5,0,104,69,35,104000,116446.2469555565994779892052,12446.2469555565994779892052,11.96754514957365334422038962,-3.310809418762798212807777866,25.49505368520457977822712146
entry=fresh-only; entry-news=active; exit=10none/0%/ignore,fresh-only,active,ignore,10,0,82,56,26,82000,91811.19429828406788649232763,9811.19429828406788649232763,11.96487109546837547133210687,-3.926799887379494723593676868,22.29699202297309705491631381
entry=any-signal; entry-news=accelerating; exit=10none/-5%/ignore,any-signal,accelerating,ignore,10,-5,175,98,77,175000,195910.2793025357277140356182,20910.2793025357277140356182,11.94873103002041583659178183,-3.426661759205812737998096340,20.25423000082369791813163477
entry=any-signal; entry-news=active; exit=10none/0%/cooling,any-signal,active,cooling,10,0,189,115,74,189000,211582.6811105300819048687565,22582.6811105300819048687565,11.94850852408999042585648492,-2.373556406887095597540743558,20.19251660535908785589969883
entry=any-signal; entry-news=active; exit=15none/0%/ignore,any-signal,active,ignore,15,0,191,117,74,191000,213766.8100634606911200204533,22766.8100634606911200204533,11.91979584474381734032484466,-2.651509827533908991536306286,20.38810811003210665403683181
entry=strict-only; entry-news=accelerating; exit=20none/0%/ignore,strict-only,accelerating,ignore,20,0,59,28,31,59000,66011.25347901208027206275169,7011.25347901208027206275169,11.88348047290183096959788422,-6.018452089943050526356218435,15.57742741172155083399812289
entry=strict-only; entry-news=accelerating; exit=15none/-10%/ignore,strict-only,accelerating,ignore,15,-10,59,25,34,59000,65977.83495425699930325764446,6977.83495425699930325764446,11.82683890552033780213160078,-9.033896807600111508666949348,15.57197239942313675273940311
entry=strict-only; entry-news=active; exit=20none/-5%/ignore,strict-only,active,ignore,20,-5,65,28,37,65000,72680.17855019566193341784268,7680.17855019566193341784268,11.81565930799332605141206566,-7.700641763541045972884809192,15.98069511968609790472661236
entry=fresh-only; entry-news=ignore; exit=10none/0%/ignore,fresh-only,ignore,ignore,10,0,104,71,33,104000,116198.3468328401746415821199,12198.3468328401746415821199,11.72917964696170638613665375,-2.858688256905903565497849328,23.34121092927867548109645705
entry=any-signal; entry-news=active; exit=10none/-5%/ignore,any-signal,active,ignore,10,-5,188,107,81,188000,209959.9009127229658089944807,21959.9009127229658089944807,11.68079835783136479201834080,-3.867887841507896277558177010,21.23509470146071863227329419
entry=strict-only; entry-news=ignore; exit=20none/0%/ignore,strict-only,ignore,ignore,20,0,73,33,40,73000,81514.78427814993116860985557,8514.78427814993116860985557,11.66408805226017968302719941,-6.313427414626152980044677828,15.65828875685767683445477015
entry=fresh-or-strict; entry-news=accelerating; exit=5none/0%/cooling,fresh-or-strict,accelerating,cooling,5,0,97,59,38,97000,108274.8372857704710257677416,11274.8372857704710257677416,11.62354359357780518120385732,-3.206659547586215407034964981,20.09475662040790119992662423
entry=fresh-or-strict; entry-news=ignore; exit=10none/0%/ignore,fresh-or-strict,ignore,ignore,10,0,131,80,51,131000,146153.3192486150069258125224,15153.3192486150069258125224,11.56741927375191368382635298,-3.469927739189046069793527240,19.67313202221405343611913852
entry=any-signal; entry-news=ignore; exit=10none/0%/cooling,any-signal,ignore,cooling,10,0,235,150,85,235000,262078.5807403756630871702509,27078.5807403756630871702509,11.52280031505347365411500038,-1.144499420570535140872712782,19.21121880750342096590731574
entry=fresh-or-strict; entry-news=ignore; exit=10none/-5%/ignore,fresh-or-strict,ignore,ignore,10,-5,129,75,54,129000,143860.4436383202418462869923,14860.4436383202418462869923,11.51972375063584639247053667,-5.476737841210911085033035797,21.65051710958785658632165843
entry=any-signal; entry-news=ignore; exit=15none/0%/ignore,any-signal,ignore,ignore,15,0,235,149,86,235000,261991.8422992005693915568405,26991.8422992005693915568405,11.4858903400853486772582300,-1.667406301738243803711767388,19.32264650911472263858179800
entry=fresh-or-strict; entry-news=active; exit=10none/-5%/ignore,fresh-or-strict,active,ignore,10,-5,107,60,47,107000,119258.8062963193618213137471,12258.8062963193618213137471,11.45682831431716058066705336,-6.381805099647561358011454767,19.80598467974835291906001636
entry=fresh-only; entry-news=active; exit=5none/-5%/cooling,fresh-only,active,cooling,5,-5,82,53,29,82000,91394.34827196095593113672658,9394.34827196095593113672658,11.45652228287921455016673973,-5.918127406996316790491225321,26.21847103075022070406111219
entry=any-signal; entry-news=accelerating; exit=10none/0%/ignore,any-signal,accelerating,ignore,10,0,180,112,68,180000,200562.2252922370443329013817,20562.2252922370443329013817,11.42345849568724685161187872,-1.870626843723731338445139979,19.12637634484442780535483943
entry=any-signal; entry-news=ignore; exit=10none/-5%/ignore,any-signal,ignore,ignore,10,-5,229,135,94,229000,255105.1360090149654745321095,26105.1360090149654745321095,11.39962271136024693211009148,-2.583895702512478956353631603,19.91107201371712595803356368
entry=fresh-only; entry-news=active; exit=5none/0%/ignore,fresh-only,active,ignore,5,0,82,56,26,82000,91311.10776814023721869153579,9311.10776814023721869153579,11.35500947334175270572138511,-4.247140839235763131912709811,22.31886296588180077132267848
entry=fresh-only; entry-news=ignore; exit=5none/0%/ignore,fresh-only,ignore,ignore,5,0,104,71,33,104000,115730.5798769610181264421232,11730.5798769610181264421232,11.27940372784713281388665692,-3.063854122904632078555001985,23.35859552492405535823997767
entry=fresh-or-strict; entry-news=active; exit=10none/0%/ignore,fresh-or-strict,active,ignore,10,0,109,65,44,109000,121292.1764571032384684189876,12292.1764571032384684189876,11.27722610743416373249448404,-4.465049259420788441506779705,17.56981166146434751822122761
entry=strict-only; entry-news=active; exit=20none/0%/ignore,strict-only,active,ignore,20,0,65,30,35,65000,72280.53782088230963646091937,7280.53782088230963646091937,11.20082741674201482532449134,-7.063024592942910910831351846,14.59676595804537869678095402
entry=fresh-or-strict; entry-news=ignore; exit=5none/-5%/cooling,fresh-or-strict,ignore,cooling,5,-5,131,78,53,131000,145576.5730481278761558989497,14576.5730481278761558989497,11.12715499857089782893049595,-5.146897698592614788976176320,20.48830553086311114365597319
entry=fresh-only; entry-news=ignore; exit=5none/-5%/cooling,fresh-only,ignore,cooling,5,-5,104,68,36,104000,115498.6518884223914538711891,11498.6518884223914538711891,11.05639604655999178256845106,-4.983590108462817416963975567,26.45828398674254299708334808
entry=fresh-or-strict; entry-news=accelerating; exit=5none/0%/ignore,fresh-or-strict,accelerating,ignore,5,0,97,60,37,97000,107698.8336010326328352909704,10698.8336010326328352909704,11.02972536188931220133089732,-3.45909010267052449496769900,19.30293550291355337583012969
entry=fresh-or-strict; entry-news=active; exit=5none/-5%/cooling,fresh-or-strict,active,cooling,5,-5,109,63,46,109000,121003.0261609772332178035744,12003.0261609772332178035744,11.01195060640113139248034349,-5.915376846535551830715883066,18.50575161583919155280055631
