ticker,yahoo_symbol,baseline_date,baseline_close,first_spike_date,first_spike_close,first_spike_return_pct,latest_date,latest_close,latest_return_pct,leading_5d_avg_volume,prior_20d_avg_volume,leading_5d_vs_prior_20d,spike_day_volume,spike_day_vs_prior_20d,pre_spike_5d_return_pct,pattern
RDW,RDW,2026-01-02,9.0300,2026-01-16,11.7100,29.68,2026-06-01,20.6800,129.01,26037380,23697760,1.10,44515300,1.88,6.65,volume expanded on threshold day
RKLB,RKLB,2026-01-02,75.9900,2026-01-16,96.3000,26.73,2026-06-01,122.3900,61.06,24164240,33432720,0.72,36105300,1.08,13.49,no >=1.5x volume expansion
SATL,SATL,2026-01-02,1.9600,2026-01-08,2.9200,48.98,2026-06-01,8.6700,342.35,5297950,,,17364100,,,insufficient pre-spike sessions
SERV,SERV,2026-01-02,11.8300,2026-01-08,15.4100,30.26,2026-06-01,9.4200,-20.37,8809175,,,23739800,,,insufficient pre-spike sessions
SHECY,SHECY,2026-01-02,15.6800,2026-02-27,19.6400,25.26,2026-06-01,24.5600,56.63,548900,629715,0.87,297600,0.47,5.31,no >=1.5x volume expansion
SHLS,SHLS,2026-01-02,9.0900,2026-05-27,12.1200,33.33,2026-06-01,12.1800,33.99,4754360,5903115,0.81,9732300,1.65,30.60,volume expanded on threshold day
SIDU,SIDU,2026-01-02,4.3300,2026-04-16,5.9500,37.41,2026-06-01,4.4400,2.54,35705900,18543415,1.93,41087300,2.22,78.14,volume expanded before threshold
SMSN.IL,SMSN.IL,2026-01-02,2218.0000,2026-01-28,2800.0000,26.24,2026-06-01,5740.0000,158.79,17645,24308,0.73,31789,1.31,8.02,no >=1.5x volume expansion
SNDK,SNDK,2026-01-02,275.2400,2026-01-06,349.6300,27.03,2026-06-01,1761.4301,539.96,10458450,,,24249700,,,insufficient pre-spike sessions
SNOW,SNOW,2026-01-02,216.7100,2026-06-01,280.1600,29.28,2026-06-01,280.1600,29.28,19103520,7341285,2.60,20048988,2.73,62.69,volume expanded before threshold
SOBO,SOBO.TO,2026-01-02,38.2600,2026-05-04,47.9100,25.22,2026-06-01,50.2700,31.39,1705660,1633695,1.04,1470700,0.90,9.38,no >=1.5x volume expansion
SPIR,SPIR,2026-01-02,7.8100,2026-01-08,10.4100,33.29,2026-06-01,20.5600,163.25,966500,,,1121400,,,insufficient pre-spike sessions
SSLLF,SSLLF,2026-01-02,54.9000,2026-04-10,72.7400,32.50,2026-05-29,121.8710,121.99,0,30,0.00,100,3.33,21.44,volume expanded on threshold day
SUOPY,SUOPY,2026-01-02,18.5600,2026-02-27,23.3000,25.54,2026-06-01,54.7600,195.04,1700,1685,1.01,300,0.18,12.02,no >=1.5x volume expansion
TEO,TEO,2026-01-02,11.5400,2026-05-29,14.7100,27.47,2026-06-01,14.5200,25.82,751880,386405,1.95,1256700,3.25,23.93,volume expanded before threshold
TOELY,TOELY,2026-01-02,114.2500,2026-02-18,143.2500,25.38,2026-06-01,170.2000,48.97,162760,229180,0.71,202900,0.89,6.21,no >=1.5x volume expansion
TRP,TRP.TO,2026-01-02,76.8500,2026-05-20,96.3700,25.40,2026-06-01,91.5400,19.12,2070940,5684600,0.36,3105400,0.55,6.08,no >=1.5x volume expansion
TSM,TSM,2026-01-02,319.6100,2026-04-24,402.4600,25.92,2026-06-01,435.6300,36.30,13681600,13658015,1.00,21603600,1.58,8.63,volume expanded on threshold day
UMAC,UMAC,2026-01-02,13.5700,2026-01-15,17.4600,28.67,2026-06-01,28.8800,112.82,5742080,4322200,1.33,6562500,1.52,15.71,volume expanded on threshold day
UMICY,UMICY,2026-01-02,5.4100,2026-05-13,7.5680,39.89,2026-06-01,7.3600,36.04,28360,33120,0.86,42600,1.29,23.86,no >=1.5x volume expansion
VRT,VRT,2026-01-02,175.6100,2026-02-11,248.5100,41.51,2026-06-01,323.3900,84.15,7195060,4846220,1.48,19793500,4.08,36.13,volume expanded on threshold day
WOLF,WOLF,2026-01-02,18.9300,2026-04-09,24.4300,29.05,2026-06-01,52.9500,179.71,1177820,1524970,0.77,4499600,2.95,48.51,volume expanded on threshold day
ZETA,ZETA,2026-01-02,19.9100,2026-06-01,25.2200,26.67,2026-06-01,25.2200,26.67,9688940,9386560,1.03,20313836,2.16,34.22,volume expanded on threshold day
